"Latitude","Longitude","Superficie","Volumeobligatoiretotalm","vol_SEPM_O","vol_SEPM_T","vol_OSW_O","vol_OSW_T","vol_HW_O","vol_HW_T,"Prixdevente"
47.217054,-73.019253,78,8200,1800,900,350,2850,250,2050,NA
47.226199,-73.227967,107,10350,4100,1650,50,750,700,3100,115510
47.484727,-73.45519,157,24950,13300,3650,0,2000,1350,4650,355178.5
47.374003,-72.463012,382,37250,12800,6100,0,6500,2700,9150,220303.5
47.473679,-73.435808,504,61800,20350,7850,800,7400,6650,18750,527136
47.565941,-73.633084,298,49100,30200,13550,0,3500,150,1700,814230
47.947294,-74.463637,503,73250,43900,20200,100,5300,350,3400,NA
46.611956,-73.468095,126,9350,2550,1300,950,1150,800,2600,NA
48.371254,-75.33687,242,31000,14650,14400,0,600,50,1300,297975
48.768196,-75.343678,294,43150,26250,16650,0,0,0,250,605319
47.815031,-72.781985,1041,81650,40900,30150,0,1100,1850,7650,951974
48.073169,-74.706383,330,31900,16550,7000,0,2950,1150,4250,293812.5
47.547446,-73.075514,102,20800,14450,2750,50,1600,400,1550,439047
46.53369,-73.27108,431,31900,14650,7100,300,1300,1600,6950,257433
45.26892,-71.140388,102,7300,1700,200,0,1600,500,3300,72891
45.971049,-71.27185,67,4900,1750,750,0,1700,50,650,72255
47.191794,-72.026773,206,22150,8950,4200,0,0,1300,7700,176151
46.334739,-70.364036,108,8000,5850,1600,200,350,0,0,NA
45.871987,-70.384084,20,1900,1300,100,0,0,0,500,NA
48.256015,-73.981087,478,48400,25600,19700,0,300,100,2700,NA
46.334739,-70.364036,108,8000,5850,1600,200,350,0,0,170145.76
48.256015,-73.981087,478,48400,25600,19700,0,300,100,2700,NA
47.958308,-73.965951,256,29550,18650,9900,0,800,0,200,269787.5
47.357225,-72.442335,58,5250,1750,1200,0,600,350,1350,19162.5
47.091664,-73.523472,274,31600,14100,6650,50,4050,1000,5750,260068
47.947294,-74.463637,528,70850,38600,20300,0,7850,350,3750,961156
48.378316,-74.635161,219,32850,14950,11600,0,3000,500,2800,299218.5
48.023962,-73.359908,187,9800,5750,3350,0,0,100,600,NA
47.118933,-73.416681,66,5500,1850,1650,50,100,450,1400,64240
47.143619,-73.775355,109,14800,9500,4050,100,600,100,450,NA
47.620297,-73.972467,414,51200,14400,11950,0,3450,6900,14500,216025
47.239334,-73.11665,170,18050,3250,1350,0,7400,650,5400,74063
47.887993,-74.40327,279,44900,10400,5450,0,22450,1200,5400,NA
47.217054,-73.019253,81,7700,1700,850,250,2750,250,1900,37388
47.282984,-73.664811,169,17050,8900,5450,50,900,450,1300,269280
47.143619,-73.775355,109,14800,9500,4050,100,600,100,450,195669
47.104999,-72.416461,215,15250,6500,2100,0,1750,1300,3600,140912.5
48.361963,-74.6559,146,25700,17950,6650,0,0,0,1100,277860
48.249046,-74.703075,117,12150,6100,5300,0,600,0,150,120375
47.665799,-73.637359,435,55300,26450,13650,0,3050,3650,8500,816878.5
47.647809,-73.647076,385,46050,25400,9500,0,650,2600,7900,721531
47.927819,-73.425282,689,72650,30200,20650,0,4850,3050,13900,522270.5
47.963827,-72.981491,334,29200,11750,6750,0,850,3150,6700,NA
47.779646,-72.805058,474,46050,22800,12600,0,2000,2800,5850,NA
47.280738,-71.096988,22,4300,3050,1250,0,0,0,0,221018
47.864156,-73.445488,315,28850,12100,4750,0,7400,1250,3350,227815.5
47.246508,-72.40316,136,11650,5550,2850,0,0,1000,2250,134125
47.75302,-72.705066,391,33750,13400,5900,0,2500,1800,10150,314775
48.692894,-73.682444,402,33500,22050,10050,0,750,150,500,257121
47.253198,-72.375297,314,22800,8850,4750,0,150,2000,7050,275137.5
47.270293,-72.389864,378,32450,16450,11000,0,200,1300,3500,453087.5
46.619427,-73.437816,137,11950,3750,2200,50,150,1300,4500,100405
48.630601,-73.681027,407,34000,20550,7250,0,2550,900,2750,284950
47.114404,-72.597868,165,17150,5350,2300,100,5750,400,3250,141000
47.685542,-73.361996,236,35150,14400,3000,0,7800,2400,7550,338218
48.192018,-74.962984,142,25600,15150,8200,0,1200,150,900,501295.5
47.846643,-70.071262,90,6800,2150,800,0,3300,0,550,36405
46.854741,-70.547031,164,16950,9450,2300,0,50,750,4400,667337.92
48.116655,-70.064626,200,17100,8050,5450,0,50,50,3500,NA
46.510977,-71.908781,40,2250,0,0,100,150,250,1750,42236.56
47.963827,-72.981491,334,29200,11750,6750,0,850,3150,6700,NA
47.779646,-72.805058,474,46050,22800,12600,0,2000,2800,5850,NA
48.023962,-73.359908,187,8750,5100,3000,0,0,100,550,NA
46.611956,-73.468095,138,9000,2900,1100,750,800,900,2550,89050
45.87811,-70.368896,94,7250,4400,950,50,0,450,1400,154280
47.614331,-72.987229,316,40350,14850,3650,0,13950,1200,6700,324353
47.896842,-74.304311,520,52500,29850,7950,0,6800,1000,6900,681697.5
48.877225,-75.051141,281,20300,13300,6400,0,0,50,550,317170
46.694828,-72.971691,61,5650,2500,900,50,700,100,1400,NA
47.849917,-73.494547,285,35600,14100,3250,0,10600,1750,5900,210125
47.159301,-73.755876,218,26400,16250,5550,450,1550,850,1750,316281.5
48.383092,-74.700378,152,18950,12200,2650,0,1000,750,2350,126240
47.640071,-73.018222,176,21600,7150,1850,450,6500,1000,4650,125120
47.300428,-71.124667,110,11050,8550,2500,0,0,0,0,556100
47.639721,-73.477145,265,40250,23350,6050,100,5100,1500,4150,517920
49.037484,-75.256818,158,11100,7950,3150,0,0,0,0,NA
47.059734,-73.37847,50,5050,2650,1000,0,400,150,850,34675
47.272354,-72.422311,263,21550,10650,3300,0,250,1300,6050,265537.5
48.215268,-74.802997,272,35200,23550,10500,0,0,250,900,488620.5
46.656102,-73.115961,191,15750,6300,1350,250,0,1300,6550,143700
48.13736,-74.964311,108,19650,14050,3150,0,1050,200,1200,323940
47.258943,-72.413788,59,5500,2700,750,0,0,350,1700,NA
47.947306,-72.912114,553,45300,21800,8750,0,4150,3100,7500,NA
47.197575,-72.968568,45,1400,650,750,0,0,0,0,NA
48.119768,-70.070276,212,17050,8400,4850,0,50,150,3600,38855.5
45.770994,-71.571464,0,0,0,0,0,0,0,0,NA
47.538043,-73.359744,377,61250,26800,5850,0,19100,1600,7900,709980
47.320143,-73.195917,399,44050,20900,7650,550,5350,1800,7800,540314.5
47.762972,-73.44124,40,4850,2900,750,0,850,100,250,39792.5
47.90272,-73.312108,415,42150,20000,5550,0,1700,3950,10950,163885
47.670006,-73.588947,522,77400,42750,16700,0,1600,3300,13050,1178155
47.855852,-73.419168,302,34600,7550,2500,0,13000,2000,9550,50510
47.779288,-73.453875,381,49950,16400,4600,50,13750,2850,12300,318539.5
47.677324,-73.586777,278,40800,22000,6000,0,2350,2400,8050,543520
47.895182,-73.018833,602,54750,23450,8400,0,4600,5050,13250,NA
47.899432,-74.272102,210,23100,10150,3750,0,4700,800,3700,129965
47.573149,-73.08846,249,36250,11450,1750,0,9250,3100,10700,275125
47.849169,-73.291605,230,29700,12300,2250,0,8750,600,5800,111425
47.747492,-73.671406,0,0,0,0,0,0,0,0,NA
47.738267,-73.317274,196,25550,7700,1500,50,10250,1500,4550,114063
47.577124,-73.230245,234,35300,14350,2700,100,8150,2200,7800,301092.5
49.037484,-75.256818,158,11200,8000,3200,0,0,0,0,157600
47.953136,-73.609172,214,20150,14750,4100,0,450,150,700,178300
48.02627,-75.495125,456,48000,29600,13500,0,4300,50,550,489320
